exec_time,script_exec_time,package_energy,e_cores,st_cores,ht_cores
11.664498567581177,13.820272207260132,1644.065125,3,1,3
10.032706022262573,12.244872570037842,1783.691345,3,1,4
8.750330924987793,12.35518765449524,1804.861145,3,1,5
8.054594993591309,10.182744979858398,1696.309692,3,1,6
8.243090152740479,10.377270698547363,1744.144775,3,1,7
22.491493225097656,24.657263040542603,1704.190674,3,2,0
16.061572313308716,18.238837242126465,1663.115356,3,2,1
12.675619125366211,16.463097095489502,1774.373962,3,2,2
10.643969058990479,12.809298515319824,1706.147949,3,2,3
9.341974973678589,11.496619462966919,1814.670837,3,2,4
8.349825620651245,10.488296031951904,1724.996155,3,2,5
8.194629907608032,10.342303037643433,1732.197327,3,2,6
18.191293239593506,21.87487030029297,1734.408325,3,3,0
14.05616021156311,16.258209466934204,1691.188293,3,3,1
11.413893461227417,13.555302381515503,1717.63623,3,3,2
9.811623096466064,11.950414657592773,1769.348877,3,3,3
8.807767629623413,12.410935163497925,1842.85321,3,3,4
7.976630926132202,10.124077320098877,1719.603149,3,3,5
15.362077474594116,17.554757118225098,1759.322266,3,4,0
12.134406328201294,14.30739688873291,1715.110596,3,4,1
10.476698637008667,12.62550973892212,1770.223572,3,4,2
9.189395904541016,12.836179256439209,1836.12561,3,4,3
8.199098348617554,10.335342645645142,1724.29303,3,4,4
13.377100944519043,15.585678815841675,1730.357666,3,5,0
10.998209476470947,13.131545782089233,1741.977356,3,5,1
9.70548963546753,11.862645149230957,1871.395386,3,5,2
8.559767723083496,12.199538707733154,1820.429871,3,5,3
11.482080698013306,13.61093020439148,1822.486145,3,6,0
9.896421432495117,12.04911756515503,1821.217529,3,6,1
9.000205039978027,11.146469354629517,1826.939026,3,6,2
10.342407464981079,12.505002737045288,1807.321411,3,7,0
9.21329379081726,12.888903856277466,1899.075012,3,7,1
9.442299127578735,11.598567008972168,1868.868225,3,8,0
35.30360770225525,37.90345764160156,1944.986145,4,0,0
21.043900966644287,24.780146598815918,1752.032959,4,0,1
16.113224029541016,18.3238468170166,1586.487366,4,0,2
12.39995527267456,14.593275308609009,1615.300964,4,0,3
10.489762783050537,12.646325588226318,1649.132385,4,0,4
9.1557137966156,12.79198408126831,1773.361633,4,0,5
8.415462970733643,10.547990798950195,1768.76532,4,0,6
8.49057126045227,10.602895975112915,1745.208008,4,0,7
8.501812219619751,10.621968030929565,1788.393066,4,0,8
23.65001916885376,25.8734028339386,1770.340881,4,1,0
